"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"810 COMMERCE STREET KARNES CITY TX 78118","KARNETX","KARNES COUNTY CORRECTIONAL CENTER","810 COMMERCE STREET","KARNES CITY","KARNES","TX","78118","5","SNA","SNA","USMS IGA","USMS IGA","Yes","Male","A, B, C, D","60","0.00%","0","24.08.2017","13.01.1998","0","0","42","20","0","41","40","276","83","19","267","12","10","9","8","45","47","56","164","120","19","0","0","0","71","53","22","","69","301","288","2","0","1","6","1","0","0","0","3","0","0","31","11","12","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","GEO","GEO","COUNTY","04.03.1998","","","b)(4)","Talton Full Service","AUTHORIZED","DMCP","Over 72","FPBDS","","Annual","Regular","NDS","No","Acceptable","Acceptable","16.03.2017","Regular","NDS","No","Acceptable","17.03.2016","","NDS","Regular","No","Acceptable","Acceptable","Special Review - Pre-Occupancy","","Acceptable","Acceptable","Acceptable","Superior","","No","YES","NO","NO","No","NONE","0","400","0.00%","0","328","90.00%","15283","195","Commerce St","78118","Karnes City","TX",28.883301,-97.909196,0.942,"","810","range",NA,NA
"8101 N STEMMONS FWY DALLAS TX 75247","DALHOLD","DALLAS FIELD OFFICE HOLD ROOM","8101 N STEMMONS FWY","DALLAS","DALLAS","TX","75247","5","DAL","DAL","Other","HOLD","Yes","Male","A, B, C","AS NEEDED","","0","25.09.2017","26.02.1997","0","0","1","1","1","0","2","2","6","4","5","1","1","1","2","1","2","2","2","1","0","0","0","0","0","0","0","0","886","11937","12122","10320","182","2812","2281","2515","187","213","182","172","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","FEDERAL","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","308","84.00%","470","22","N Stemmons Fwy","75247","Dallas","TX",32.82514,-96.87117,0.808,"","8101","range",NA,NA
"811 CANAL STREET MANCHESTER NH 3101","MANHOLD","MANCHESTER HOLDROOM","811 CANAL STREET","MANCHESTER","HILLSBOROUGH","NH","3101","1","BOS","MAN","Other","HOLD","Yes","Female","A, B, C","AS NEEDED","","0","29.08.2017","10.01.2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","352","226","300","38","263","188","190","41","43","38","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","9","2.00%","9","1","Old Manchester Hwy","37388","Manchester","TN",35.410801,-86.130471,0.409,"","5853","street",NA,NA
"811 EAST CITY HALL AVENUE NORFOLK VA 23510","NORFOVA","NORFOLK CITY JAIL","811 EAST CITY HALL AVENUE","NORFOLK","NORFOLK CITY","VA","23510","4","WAS","WAS","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","1","04.11.2017","11.08.2006","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","","","3","3","0","0","1","1","0","0","4","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","1","1","0","0","1","0","0","1","1","1","","","CITY","CITY","08.08.2017","","","$44.50","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","23","400","6.00%","754","5","1.00%","4","3","E City Hall Ave","","Norfolk","VA",36.846646,-76.284427,0.828,"","811","range",NA,NA
"811 MAIN STREET LUBBOCK TX 79401","LUBBOTX","LUBBOCK COUNTY DETENTION CENTER","811 MAIN STREET","LUBBOCK","LUBBOCK","TX","79401","5","DAL","LBK","USMS IGA","USMS IGA","Yes","Male","A, B, C, D","15","3.00%","0","30.10.2017","02.01.2007","3","0","1","1","0","1","1","0","1","2","2","0","0","1","1","1","2","1","2","1","1","0","1","0","1","2","2","1","9","191","128","84","7","96","66","42","8","4","5","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","CORRECT CARE SOLUTIONS","COUNTY (SHERIFF)","COUNTY","16.11.1984","","","$65.00","","AUTHORIZED","DMCP","Under 72","FPBDS","","Annual","ORSA","NDS","No","Acceptable","","20.10.2017","ORSA","NDS","No","Acceptable","29.07.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","Acceptable","2009 DEFICIENT","Yes","NO","NO","NO","No","NONE","14","400","4.00%","194","139","38.00%","293","8","Main St","79401","Lubbock","TX",33.58543,-101.843295,0.938,"","811","range",NA,NA
"815 AIRPORT WAY SOUTH SEATTLE WA 98134","SEAICDF","SEATTLE CONTRACT DETENTION","815 AIRPORT WAY SOUTH","SEATTLE","KING","WA","98134","9","SEA","SEA","Other","Other","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","19.10.2007","17.04.1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","FEDERAL","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Airport Way S","98134","Seattle","WA",47.595433,-122.327341,0.93,"","815","range",NA,NA
"815 FAIRCREST STREET SW CANTON OH 44706","MCJUVOH","MULTI COUNTY","815 FAIRCREST STREET SW","CANTON","STARK","OH","44706","6","DET","CLE","IGSA","JUVENILE","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","01.08.2004","26.09.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","JFRMU","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Faircrest St SW","44706","Canton","OH",40.750465,-81.387151,0.925,"","815","range",NA,NA
"818 N. HILL ST. LOS ANGELES CA 90012","BWDGICA","BEST WESTERN DRAGON GATE INN","818 N. HILL ST.","LOS ANGELES","LOS ANGELES","CA","90012","9","LOS","LOS","Other","Other","Yes","Female/Male","A","AS NEEDED","","0","18.10.2017","14.05.2008","3","0","0","0","0","0","0","1","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","4","47","26","45","0","18","8","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","HOTEL","","","","","b)(4)","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","5","400","1.00%","149","20","5.00%","39","4","N Hill St","90012","Los Angeles","CA",34.063037,-118.239344,0.954,"","818","range",NA,NA
"820 MAIN STREET ROUNDUP MT 59072","MUSSEMT","MUSSELSHELL COUNTY JAIL","820 MAIN STREET","ROUNDUP","MUSSELSHELL","MT","59072","9","SLC","HEL","IGSA","IGSA","Yes","Female/Male","A","AS NEEDED","","0","01.06.2017","14.07.2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2","2","3","0","2","2","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$71.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","4","1.00%","4","1","Main St","59072","Roundup","MT",46.449398,-108.541905,0.938,"","820","range",NA,NA
"8200 WESTMINSTER BOULEVARD WESTMINSTER CA 92683","WESHOLD","WESTMINSTER CUSTODY","8200 WESTMINSTER BOULEVARD","WESTMINSTER","ORANGE","CA","92683","9","LOS","LOS","Other","HOLD","Yes","Male","B, C, D","AS NEEDED","","0","02.06.2017","30.11.1989","0","0","0","0","0","0","0","0","6","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","3","2","20","11","2","0","2","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","FEDERAL","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","2","1.00%","2","1","Westminster Blvd","92683","Westminster","CA",33.759226,-117.986454,0.935,"","8200","range",NA,NA
"822 DOUGLAS ST SIOUX CITY IA 51101","WOJUVIA","WOODBURY COUNTY JUVENILE DETENTION CENTER","822 DOUGLAS ST","SIOUX CITY","WOODBURY","IA","51101","8","SPM","OMA","IGSA","JUVENILE","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","13.11.2003","15.01.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","JFRMU","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Douglas St","51101","Sioux City","IA",42.499048,-96.40647,0.949,"","822","range",NA,NA
"827 FORREST AVENUE GADSDEN AL 35901","ETOWAAL","ETOWAH COUNTY JAIL (ALABAMA)","827 FORREST AVENUE","GADSDEN","ETOWAH","AL","35901","11","NOL","ATL","USMS IGA","USMS IGA","Yes","Male","A, B, C, D","350","88.00%","297","04.11.2017","02.03.1996","325","309","301","278","281","302","311","317","341","360","342","289","294","298","296","306","310","309","297","297","314","303","310","299","83","101","121","119","422","1212","823","856","62","321","181","244","65","45","32","37","87","222","119","182","119","159","61","220","94","37","68","110","221","87","1","0","155","39","28","88","300","9","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","09.03.2010","","","$45.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","Local Standards","","Annual","Regular","NDS","No","Acceptable","Acceptable","27.07.2017","Regular","NDS","No","Acceptable","21.07.2016","","NDS","Regular","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Yes","YES","YES","NO","Yes","PERMANENT","35","400","9.00%","123577","372","102.00%","109899","342","Forrest Ave","35901","Gadsden","AL",34.015943,-86.012259,0.933,"","827","range",NA,NA
"829 FIELDCREST ROAD CAMBRIDGE MD 21613","DORCHMD","DORCHESTER COUNTY DETENTION CENTER","829 FIELDCREST ROAD","CAMBRIDGE","DORCHESTER","MD","21613","4","BAL","WCD","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","06.06.2013","29.09.1995","0","0","0","0","0","0","11","21","24","18","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (CORRECTIONS)","COUNTY","02.09.1997","","","$64.97","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","","Standard 2.11","N/A","Regular","NDS","No","Acceptable","Acceptable","12.07.2012","Regular","NDS","No","Deficient","12.07.2011","","N/A","N/A","No","","","","","","Acceptable","Deficient","Superior","2007 and 2008 DEFICIENT","Yes","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Fieldcrest Rd","21613","Cambridge","MD",38.548791,-76.059035,0.938,"","829","range",NA,NA
"83 COURT STREET MACHIAS ME 4654","WASHIME","WASHINGTON COUNTY JAIL","83 COURT STREET","MACHIAS","WASHINGTON","ME","4654","1","BOS","POM","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","08.03.2011","01.08.1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$75.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","09.06.2010","Regular","NDS","No","Superior","21.07.2009","","N/A","N/A","No","","","","","","","","Superior","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Machias Rd","98290","Machias","WA",47.996038,-122.039559,0.584,"","83","range",NA,NA
"83 OLD HIGHWAY 70 LORDSBURG NM 88045","HIDALNM","HIDALGO COUNTY DETENTION FACILITY","83 OLD HIGHWAY 70","LORDSBURG","HIDALGO","NM","88045","10","ELP","ELP","IGSA","IGSA","Yes","Female/Male","A","AS NEEDED","","0","29.01.2017","29.04.2015","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","16","","","1","2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Over 72","NDS","","N/A","Regular","NDS","No","Acceptable","Acceptable","20.08.2015","Regular","NDS","Yes","Special Review - Pre-Occupancy","05.09.2014","","N/A","N/A","No","","","Acceptable","Special Review - Pre-Occupancy","","","","","","No","","","","No","","0","400","0.00%","0","31","8.00%","31","1","Old Hwy 70","88045","Lordsburg","NM",32.339536,-108.669664,1,"","83","range",NA,NA
"830 FEDERAL STREET CAMDEN NJ 8101","CAMDENJ","CAMDEN COUNTY JAIL","830 FEDERAL STREET","CAMDEN","CAMDEN","NJ","8101","3","NEW","NEW","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","25.02.2004","12.03.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Federal St","08103","Camden","NJ",39.943956,-75.115979,0.556,"","830","range",NA,NA
"830 PINEHILL ROAD JENA LA 71342","JENADLA","JENA/LASALLE DETENTION FACILITY","830 PINEHILL ROAD","JENA","LA SALLE","LA","71342","5","NOL","OAK","IGSA","DIGSA","Yes","Female/Male","A, B, C, D","1160","100.00%","1100","04.11.2017","22.10.2007","1214","1165","1117","1105","1047","1033","980","910","994","831","865","1067","1052","1059","1160","1186","1156","1129","1133","1080","1138","1137","1168","1140","22","24","34","28","1730","17421","12149","12785","244","2213","1576","1317","246","214","159","117","416","749","398","719","457","647","406","641","305","234","382","244","672","369","76","48","344","167","237","418","786","379","YES","IHSC","GEO","COUNTY","24.07.2007","31.10.2018","1170","b)(4)","Talton Full Service","AUTHORIZED","DMCP","Over 72","PBNDS 2011","PREA","Annual","Regular","PBNDS 2011","No","Meets Standard","Meets Standard","14.09.2017","Regular","PBNDS 2011","No","Meets Standard","15.09.2016","","PBNDS 2011","Regular","No","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","Meets Standard","","No","YES","YES","NO","Yes","PERMANENT","35","400","9.00%","466080","372","102.00%","407819","1277","Pinehill Rd","71342","Jena","LA",31.70821,-92.150612,0.924,"","830","range",NA,NA
"8311 WEST ROOSEVELT ROAD FOREST PARK IL 60130","REHOSIL","RIVEREDGE HOSPITAL","8311 WEST ROOSEVELT ROAD","FOREST PARK","COOK","IL","60130","7","CHI","CHI","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","0","13.08.2015","16.07.1987","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","9","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","HOSPITAL","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Roosevelt Rd","60130","Forest Park","IL",41.863672,-87.867765,0.742,"","9801","street",NA,NA
"832 EAST TEXAS STATE HIGHWAY 44 ENCINAL TX 78019","LSRDCTX","LA SALLE COUNTY REGIONAL DETENTION CENTER","832 EAST TEXAS STATE HIGHWAY 44","ENCINAL","LA SALLE","TX","78019","5","SNA","LRD","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","250","0.00%","0","04.11.2017","10.06.2011","0","0","35","35","1","162","105","111","37","0","0","114","122","20","0","0","0","0","0","0","10","0","0","0","5","12","11","78","57","1037","1215","4","0","4","43","1","0","1","6","22","0","0","30","5","28","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY","COUNTY","14.01.2004","","","$67.63","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","NDS","","Annual","Regular","NDS","No","Acceptable","Acceptable","21.09.2017","Regular","NDS","No","Acceptable","22.09.2016","","NDS","Regular","No","Acceptable","Acceptable","","Acceptable","Acceptable","","Acceptable","Superior","","No","NO","NO","NO","No","","0","400","0.00%","0","117","32.00%","12778","200","State Hwy 44","78019","Encinal","TX",28.046614,-99.367001,0.688,"","1700","street",NA,NA
"840 ALBANY SHAKER ROAD ALBANY NY 12211","ALBCONY","ALBANY COUNTY JAIL","840 ALBANY SHAKER ROAD","ALBANY","KINGS","NY","12211","2","BUF","ALB","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","14","123.00%","18","04.11.2017","13.07.1988","20","17","28","29","9","16","4","4","13","3","5","51","27","28","35","23","20","22","22","26","16","20","17","19","20","24","28","14","75","409","391","219","64","285","122","161","62","44","23","33","12","6","24","5","27","3","6","3","8","6","2","2","1","2","5","10","3","1","1","12","10","7","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","01.07.2009","","","$119.30","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","FPBDS","","Annual","Regular","NDS","No","Pending","Acceptable","28.09.2017","ORSA","NDS","No","Acceptable","22.07.2016","","NDS","Regular","No","Pending","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","Acceptable","","Yes","NO","YES","NO","No","NONE","35","400","9.00%","6914","372","102.00%","10390","60","Albany Shaker Rd","12211","Albany","NY",42.745125,-73.81586,0.926,"","840","range",NA,NA
"842 VIRGINIA RUN COVE MEMPHIS TN 38122","MEMHOLD","MEMPHIS HOLD ROOM","842 VIRGINIA RUN COVE","MEMPHIS","SHELBY","TN","38122","6","NOL","MEM","Other","HOLD","Yes","Female/Male","A","AS NEEDED","","0","24.10.2017","02.04.2010","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","34","157","16","11","32","149","16","11","31","13","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","1","400","0.00%","57","7","2.00%","18","6","Virginia Run Cove","38122","Memphis","TN",35.157004,-89.883275,0.93,"","842","range",NA,NA
"844 US 42 NORTH DELAWARE OH 43015","DELWAOH","DELAWARE COUNTY JAIL","844 US 42 NORTH","DELAWARE","DELAWARE","OH","43015","6","DET","","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","16.04.2008","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","30.09.2009","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","US Rte 42","43015","Delaware","OH",40.313075,-83.047187,0.796,"","844","range",NA,NA
"85 HAMMOND STREET BANGOR ME 4401","PENOBME","PENOBSCOT COUNTY JAIL","85 HAMMOND STREET","BANGOR","PENOBSCOT","ME","4401","1","BOS","POM","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","01.10.2013","10.02.1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$90.59","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Acceptable","At-Risk","06.10.2010","Regular","NDS","No","Superior","07.10.2009","","N/A","N/A","No","","","","","","","","Acceptable","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Hammond Square Dr","70403","Hammond","LA",30.480405,-90.463101,0.278,"","1900","street",NA,NA
"85 INDUSTRIAL TRACT HUDSON NY 12543","COLOMNY","COLOMBIA COUNTY JAIL","85 INDUSTRIAL TRACT","HUDSON","ORANGE","NY","12543","2","BUF","ALB","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","25.01.2010","14.11.1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$90.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","07.10.2008","Regular","NDS","No","Superior","16.10.2007","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Industrial Tract","12534",NA,NA,42.249596,-73.756593,0.716,"","85","range",NA,NA
"850 MAPLE STREET WHEATLAND WY 82201","PLATTWY","PLATTE COUNTY JAIL","850 MAPLE STREET","WHEATLAND","PLATTE","WY","82201","10","DEN","DEN","USMS IGA","USMS IGA","Yes","Male","B, C, D","AS NEEDED","","3","04.11.2017","04.04.2000","5","1","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","2","2","2","2","1","9","45","53","23","1","9","12","6","1","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY (SHERIFF)","COUNTY","04.12.2007","","","$63.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Under 72","NDS","","Annual","ORSA","NDS","No","Acceptable","","08.09.2017","ORSA","NDS","No","Acceptable","11.07.2014","","NDS","ORSA","No","Acceptable","","","Acceptable","Acceptable","","","Superior","2008 DEFICIENT","Yes","NO","NO","NO","No","NONE","10","400","3.00%","240","61","17.00%","90","5","Maple St","82201","Wheatland","WY",42.055299,-104.95254,0.942,"","850","range",NA,NA
"851 63L ROAD TELLURIDE CO 81435","SNMGLCO","SAN MIGUEL COUNTY JAIL","851 63L ROAD","TELLURIDE","SAN MIGUEL","CO","81435","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","19.09.2007","07.03.2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","63A Rd","81435","Telluride","CO",37.825386,-107.881011,0.478,"","701","street",NA,NA
